Time,Frequency Reference,Output Frequency,Output Current,Output Voltage,Output Power,DC Bus Voltage,Output Frequency After Soft-start,Peak Voltage Current,Regenerative Power  (kWh),Power Supply Voltage,Power Supply Frequency,Electric Power (kWh),Cooling Fin Temperature,Peak Voltage Output Frequency,Motor q-Axis Current during Fault,Fin Temperature

 15:19:13.116,   48.18,   48.18,   82.05,  371.10,   42.70,  588.00,   48.18,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:13.271,   48.17,   48.17,   80.86,  371.00,   43.70,  589.00,   48.17,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:13.413,   48.16,   48.16,   82.14,  370.90,   40.80,  590.00,   48.14,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:13.550,   48.14,   48.14,   82.67,  370.90,   43.70,  593.00,   48.15,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:13.688,   48.17,   48.17,   86.77,  371.10,   45.70,  586.00,   48.16,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:13.827,   48.17,   48.17,   81.17,  371.10,   46.80,  586.00,   48.18,  199.80,    0.00,  398.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:13.968,   48.18,   48.18,   81.79,  371.10,   43.90,  589.00,   48.19,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:14.111,   48.17,   48.17,   81.97,  371.10,   40.40,  592.00,   48.17,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:14.256,   48.15,   48.15,   84.17,  370.90,   45.00,  593.00,   48.15,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:14.401,   48.17,   48.17,   86.15,  371.30,   44.80,  588.00,   48.18,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:14.545,   48.18,   48.18,   80.82,  371.10,   45.80,  589.00,   48.18,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:14.692,   48.17,   48.17,   81.13,  371.00,   44.20,  590.00,   48.16,  199.80,    0.00,  400.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:14.842,   48.15,   48.15,   81.17,  370.80,   39.40,  591.00,   48.15,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:14.990,   48.17,   48.16,   83.38,  371.10,   44.50,  593.00,   48.18,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:15.140,   48.18,   48.18,   86.68,  371.20,   46.40,  590.00,   48.18,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:15.293,   48.18,   48.18,   83.02,  371.20,   44.80,  587.00,   48.18,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:15.445,   48.17,   48.17,   80.33,  371.10,   45.10,  589.00,   48.16,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:15.598,   48.15,   48.15,   80.60,  370.80,   43.20,  589.00,   48.16,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:15.753,   48.17,   48.17,   82.27,  371.00,   38.10,  590.00,   48.17,  199.80,    0.00,  400.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:15.910,   48.18,   48.18,   82.76,  371.20,   40.90,  591.00,   48.19,  199.80,    0.00,  400.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:16.066,   48.18,   48.18,   84.79,  371.20,   45.50,  594.00,   48.18,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:16.226,   48.16,   48.16,   86.42,  371.10,   45.90,  590.00,   48.15,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:16.387,   48.15,   48.15,   83.95,  370.90,   44.00,  587.00,   48.15,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:16.549,   48.17,   48.17,   81.97,  371.20,   46.10,  584.00,   48.18,  199.80,    0.00,  398.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:16.710,   48.18,   48.18,   80.33,  371.10,   46.20,  587.00,   48.18,  199.80,    0.00,  397.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:16.873,   48.18,   48.18,   80.78,  371.10,   44.60,  587.00,   48.17,  199.80,    0.00,  397.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:17.038,   48.14,   48.14,   81.70,  370.80,   42.60,  585.00,   48.15,  199.80,    0.00,  398.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:17.205,   48.17,   48.17,   82.54,  371.10,   40.20,  587.00,   48.18,  199.80,    0.00,  398.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:17.373,   48.17,   48.17,   81.83,  371.00,   38.90,  589.00,   48.15,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:17.541,   48.17,   48.17,   82.76,  371.20,   42.70,  591.00,   48.18,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:17.710,   48.15,   48.16,   82.76,  371.00,   42.50,  592.00,   48.16,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:17.881,   48.18,   48.18,   84.70,  371.20,   44.30,  594.00,   48.18,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:18.053,   48.17,   48.16,   84.79,  371.10,   45.90,  592.00,   48.18,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:18.225,   48.16,   48.16,   85.80,  371.10,   44.80,  591.00,   48.16,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:18.398,   48.18,   48.18,   87.47,  371.30,   45.70,  591.00,   48.18,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:18.574,   48.17,   48.17,   86.90,  371.20,   46.90,  589.00,   48.17,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:18.750,   48.15,   48.15,   86.15,  371.00,   46.20,  589.00,   48.17,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:18.925,   48.15,   48.16,   85.98,  371.10,   44.90,  588.00,   48.16,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:19.101,   48.17,   48.17,   85.27,  371.10,   44.40,  588.00,   48.15,  199.80,    0.00,  400.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:19.283,   48.17,   48.18,   86.42,  371.20,   44.50,  588.00,   48.15,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:19.463,   48.18,   48.18,   86.55,  371.30,   44.40,  588.00,   48.16,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:19.643,   48.17,   48.18,   86.20,  371.20,   44.70,  587.00,   48.17,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:19.827,   48.17,   48.17,   86.20,  371.30,   45.90,  585.00,   48.17,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:20.009,   48.17,   48.17,   87.12,  371.20,   45.80,  587.00,   48.16,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:20.194,   48.17,   48.16,   87.17,  371.10,   44.30,  588.00,   48.16,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:20.380,   48.15,   48.15,   86.20,  371.00,   44.80,  589.00,   48.17,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:20.568,   48.17,   48.17,   84.92,  371.10,   45.20,  590.00,   48.17,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:20.757,   48.17,   48.17,   85.93,  371.20,   45.50,  590.00,   48.16,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:20.945,   48.16,   48.16,   84.43,  371.00,   44.60,  593.00,   48.17,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:21.134,   48.17,   48.16,   83.46,  371.10,   44.70,  593.00,   48.17,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:21.328,   48.17,   48.17,   82.19,  371.10,   42.10,  592.00,   48.17,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:21.519,   48.15,   48.16,   82.01,  370.90,   41.10,  592.00,   48.16,  199.80,    0.00,  400.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:21.713,   48.17,   48.16,   81.04,  371.00,   38.80,  590.00,   48.18,  199.80,    0.00,  400.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:21.908,   48.18,   48.17,   82.23,  371.00,   42.30,  590.00,   48.16,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:22.102,   48.16,   48.16,   81.35,  370.90,   43.60,  589.00,   48.16,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:22.301,   48.15,   48.15,   80.38,  370.90,   44.60,  591.00,   48.17,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:22.504,   48.17,   48.17,   80.56,  371.00,   45.90,  588.00,   48.17,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:22.702,   48.17,   48.17,   83.07,  371.10,   45.00,  587.00,   48.15,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:22.904,   48.15,   48.15,   86.77,  371.10,   44.50,  588.00,   48.17,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:23.105,   48.18,   48.17,   85.45,  371.20,   45.20,  592.00,   48.17,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:23.311,   48.16,   48.16,   83.07,  371.00,   43.30,  591.00,   48.16,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:23.514,   48.18,   48.18,   81.97,  371.10,   42.00,  590.00,   48.17,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:23.719,   48.16,   48.16,   82.10,  370.90,   41.70,  589.00,   48.17,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:23.925,   48.17,   48.18,   80.03,  371.00,   45.40,  589.00,   48.16,  199.80,    0.00,  398.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:24.133,   48.16,   48.16,   80.33,  371.00,   44.50,  588.00,   48.18,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:24.344,   48.16,   48.16,   85.53,  371.10,   44.60,  588.00,   48.17,  199.80,    0.00,  400.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:24.554,   48.18,   48.17,   85.18,  371.20,   44.80,  592.00,   48.15,  199.80,    0.00,  400.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:24.766,   48.17,   48.17,   82.32,  371.10,   42.00,  592.00,   48.17,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:24.976,   48.16,   48.16,   81.88,  371.00,   39.60,  589.00,   48.17,  199.80,    0.00,  400.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:25.190,   48.17,   48.17,   80.95,  371.00,   44.00,  588.00,   48.17,  199.80,    0.00,  398.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:25.404,   48.16,   48.16,   80.69,  371.00,   45.40,  586.00,   48.17,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:25.619,   48.17,   48.17,   86.50,  371.10,   45.40,  587.00,   48.16,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:25.835,   48.17,   48.17,   84.21,  371.10,   43.50,  595.00,   48.16,  199.80,    0.00,  400.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:26.055,   48.17,   48.16,   80.86,  370.90,   38.70,  592.00,   48.16,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:26.274,   48.17,   48.16,   79.50,  371.00,   43.80,  589.00,   48.17,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:26.494,   48.17,   48.17,   81.52,  371.00,   45.50,  587.00,   48.16,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:26.715,   48.17,   48.16,   86.20,  371.10,   45.10,  590.00,   48.16,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:26.938,   48.16,   48.16,   81.88,  371.00,   41.60,  592.00,   48.16,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:27.162,   48.15,   48.15,   81.97,  370.90,   43.00,  589.00,   48.17,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:27.387,   48.17,   48.17,   80.64,  371.00,   45.90,  588.00,   48.16,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:27.613,   48.16,   48.16,   86.81,  371.20,   46.00,  587.00,   48.17,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:27.840,   48.15,   48.16,   83.02,  371.00,   43.30,  592.00,   48.17,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:28.068,   48.17,   48.17,   82.14,  371.00,   42.70,  588.00,   48.16,  199.80,    0.00,  399.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:28.304,   48.16,   48.17,   81.13,  371.00,   45.40,  586.00,   48.16,  199.80,    0.00,  398.00,   49.90,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:28.535,   48.17,   48.17,   85.80,  371.10,   44.40,  590.00,   48.16,  199.80,    0.00,  399.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
 15:19:28.766,   48.17,   48.17,   81.83,  371.10,   40.10,  591.00,   48.16,  199.80,    0.00,  400.00,   50.00,  938.00,   36.00,    2.23,  -11.50,   32.00
