Time,Frequency Reference,Output Frequency,Output Current,Output Voltage,Output Power,DC Bus Voltage,Output Frequency After Soft-start,Peak Voltage Current,Regenerative Power  (kWh),Power Supply Voltage,Power Supply Frequency,Electric Power (kWh),Cooling Fin Temperature,Peak Voltage Output Frequency,Motor q-Axis Current during Fault,Fin Temperature,RPM Ref,RPM Out,Power Factor,Slip (%),Daya Semu (kVA),Efficiency (%),Daya Output Motor (kW),Torque (Nm),Load,Temperature (C),Lifetime,Anomaly_Score,Anomaly,Smoothed_Anomaly_Score,Filtered_Anomaly
0.0,48.18,48.18,82.05,371.1,42.7,588.0,48.18,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.8,0.8096507228094226,0.0,52.73879068721689,93.5,39.92450000000001,131.96298515981738,427.2550300918852,55.6,794418.8535835735,0.13989879352493295,1,0.13989879352493295,0
0.155,48.17,48.17,80.86,371.0,43.7,589.0,48.17,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8410332444945492,0.0,51.9598960993072,93.5,40.8595,135.0814900352917,437.2610026935685,55.4,806349.4719327182,0.20097093237300312,1,0.17043486294896804,0
0.297,48.16,48.16,82.14,370.9,40.8,590.0,48.14,199.8,0.0,400.0,50.0,938.0,36.0,2.23,-11.5,32.0,2889.6,2889.6,0.7731931608305259,0.0,52.76818532147213,93.5,38.148,126.1434593023256,408.2436821486865,55.4,806349.4719327182,0.15002031469969745,1,0.1636300135325445,0
0.434,48.14,48.14,82.67,370.9,43.7,593.0,48.15,199.8,0.0,400.0,50.0,938.0,36.0,2.23,-11.5,32.0,2888.4,2888.4,0.8228412185342585,0.0,53.1086666730716,93.5,40.8595,135.1656704403822,437.26100269356846,55.5,800361.9325533354,0.09187814142273654,1,0.14569204550509252,0
0.572,48.17,48.17,86.77,371.1,45.7,586.0,48.16,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8193982289062257,0.0,55.77263702534807,93.5,42.7295,141.2637092588748,457.2729478969355,55.5,800361.9325533354,0.14668130950497094,1,0.1458898983050682,0
0.711,48.17,48.17,81.17,371.1,46.8,586.0,48.18,199.8,0.0,398.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8970129757867343,0.0,52.17315831909074,93.5,43.758,144.6639298318455,468.2795177587872,55.4,806349.4719327182,0.10236070373047712,1,0.13863503254263634,0
0.852,48.18,48.18,81.79,371.1,43.9,589.0,48.19,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.8,0.8350504806551553,0.0,52.5716720329978,93.5,41.04650000000001,135.671546803653,439.2621972139054,55.4,806349.4719327182,0.166842444506008,1,0.14266466282311802,0
0.995,48.17,48.17,81.97,371.1,40.4,592.0,48.17,199.8,0.0,400.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.7667871889450416,0.0,52.68736956284179,93.5,37.774,124.88082831637946,404.241293108013,55.6,794418.8535835735,0.157646428883571,1,0.14453738358067464,0
1.14,48.15,48.15,84.17,370.9,45.0,593.0,48.15,199.8,0.0,400.0,50.0,938.0,36.0,2.23,-11.5,32.0,2889.0,2889.0,0.8322191900314586,0.0,54.07229313986255,93.5,42.07500000000001,139.15771028037386,450.2687670757572,55.6,794418.8535835735,0.1591825127168089,1,0.14616462015135623,0
1.285,48.17,48.17,86.15,371.3,44.8,588.0,48.18,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8086063650715767,0.0,55.40396654685542,93.5,41.88799999999999,138.48171060826235,448.26757255542026,55.6,794418.8535835735,0.18914011072574205,1,0.1504621692087948,0
1.429,48.18,48.18,80.82,371.1,45.8,589.0,48.18,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.8,0.8816476417477013,0.0,51.94819089994965,93.5,42.823,141.54343607305935,458.2735451571039,55.6,794418.8535835735,0.14613282718186704,1,0.15006859266089229,0
1.576,48.17,48.17,81.13,371.0,44.2,590.0,48.16,199.8,0.0,400.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8478250738700446,0.0,52.13339562870137,93.5,41.327,136.62704484118746,442.2639889944103,55.6,794418.8535835735,0.2148639680994801,1,0.1554682072807746,0
1.726,48.15,48.15,81.17,370.8,39.4,591.0,48.15,199.8,0.0,400.0,50.0,938.0,36.0,2.23,-11.5,32.0,2889.0,2889.0,0.7557885758322046,0.0,52.13098114987562,93.5,36.839,121.84030633437176,394.2353205063295,55.6,794418.8535835735,0.053974752919692115,1,0.14766101848376825,0
1.874,48.17,48.16,83.38,371.1,44.5,593.0,48.18,199.8,0.0,400.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2889.6,0.8303219874780664,0.0207641196013414,53.593666879953,93.5,41.6075,137.58293968023256,445.2657807749153,55.6,794418.8535835735,0.20492524140411755,1,0.1517513201209361,0
2.024,48.18,48.18,86.68,371.2,46.4,590.0,48.18,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.8,0.8325886438475222,0.0,55.729801676826085,93.5,43.384,143.39771689497715,464.27712871811394,55.6,794418.8535835735,0.06424045637372211,1,0.14591726253778844,0
2.177,48.18,48.18,83.02,371.2,44.8,587.0,48.18,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.8,0.839318295617878,0.0,53.37665130606946,93.5,41.888,138.45296803652963,448.26757255542026,55.6,794418.8535835735,0.16747557269679852,1,0.14726465692272658,0
2.329,48.17,48.17,80.33,371.1,45.1,589.0,48.16,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.873468390626879,0.0,51.63323651315213,93.5,42.16850000000001,139.40904349179988,451.2693643359255,55.6,794418.8535835735,0.20200614946156903,1,0.1504847447191291,0
2.482,48.15,48.15,80.6,370.8,43.2,589.0,48.16,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2889.0,2889.0,0.834542295679914,0.0,51.7649018193911,93.5,40.392,133.5914018691589,432.2580163927268,55.6,794418.8535835735,0.13746317838969002,1,0.1497613243674936,0
2.637,48.17,48.17,82.27,371.0,38.1,590.0,48.17,199.8,0.0,400.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.72069073909636,0.0,52.86594919725455,93.5,35.6235,117.77127620925886,381.227556124141,55.6,794418.8535835735,0.0511346160637941,1,0.14457044498308835,0
