Time,Frequency Reference,Output Frequency,Output Current,Output Power,Output Voltage,Minor Fault,Major Fault,During Run,Fault Output,Output Frequency After Soft-start,Over Run Error,Timeout,Fin Temperature,Cooling Fin Temperature,Cooling Fan Operation Time,Electric Power (kWh)

000:00:00.182,   48.08,   48.08,   84.12,   45.40,  370.50,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:00.323,   48.09,   48.08,   82.67,   44.30,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:00.464,   48.08,   48.08,   84.08,   45.40,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:00.612,   48.08,   48.08,   86.50,   45.10,  370.60,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:00.756,   48.08,   48.08,   80.95,   44.50,  370.50,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:00.914,   48.08,   48.08,   80.16,   43.40,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:01.055,   48.08,   48.08,   81.48,   42.60,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:01.196,   48.08,   48.08,   81.74,   41.00,  370.40,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:01.343,   48.08,   48.08,   82.80,   44.30,  370.40,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:01.480,   48.08,   48.08,   85.31,   46.00,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:01.639,   48.09,   48.09,   84.08,   44.20,  370.60,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:01.780,   48.09,   48.09,   79.94,   45.20,  370.50,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:01.931,   48.08,   48.08,   80.42,   42.30,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:02.079,   48.08,   48.08,   82.71,   39.90,  370.40,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:02.222,   48.08,   48.09,   82.76,   42.00,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:02.363,   48.08,   48.08,   84.04,   44.70,  370.50,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:02.519,   48.08,   48.08,   85.01,   45.80,  370.50,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:02.677,   48.09,   48.08,   85.23,   43.90,  370.60,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:02.827,   48.08,   48.08,   81.92,   45.50,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:02.977,   48.08,   48.08,   79.81,   45.40,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:03.136,   48.08,   48.08,   80.51,   42.50,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:03.279,   48.08,   48.08,   82.10,   40.00,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:03.433,   48.08,   48.08,   82.14,   40.50,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:03.590,   48.08,   48.08,   82.58,   42.40,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:03.744,   48.08,   48.09,   83.82,   45.50,  370.50,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:03.900,   48.08,   48.08,   84.92,   45.30,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:04.058,   48.08,   48.08,   86.02,   45.70,  370.60,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:04.216,   48.08,   48.08,   84.04,   43.70,  370.60,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:04.360,   48.08,   48.08,   80.86,   44.60,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:04.515,   48.08,   48.08,   79.59,   44.80,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:04.679,   48.08,   48.08,   80.16,   43.10,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:04.831,   48.08,   48.08,   81.44,   41.90,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:04.989,   48.09,   48.08,   83.20,   39.10,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:05.163,   48.08,   48.08,   82.41,   40.60,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:05.304,   48.08,   48.08,   82.41,   41.70,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:05.460,   48.08,   48.08,   82.80,   44.80,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:05.618,   48.08,   48.08,   83.99,   44.60,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:05.776,   48.08,   48.08,   85.67,   45.20,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:05.934,   48.08,   48.08,   84.70,   43.30,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:06.097,   48.08,   48.08,   82.01,   45.20,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:06.260,   48.09,   48.09,   81.30,   45.50,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:06.421,   48.08,   48.08,   80.16,   44.60,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:06.578,   48.08,   48.08,   79.85,   44.30,  370.40,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:06.751,   48.08,   48.08,   79.81,   44.10,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:06.902,   48.08,   48.08,   80.51,   43.90,  370.30,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:07.074,   48.09,   48.09,   81.22,   41.80,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:07.233,   48.08,   48.08,   82.23,   42.30,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:07.392,   48.08,   48.08,   82.89,   38.00,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
