Time,Frequency reference,Output frequency,Output current,Output voltage,Output power,DC bus voltage,Output frequency after soft-start,Fault output,During Run,Power Supply Voltage,Power Supply Frequency,Electric Power (kWh),Cooling fin temperature,Peak Voltage Output Frequency,Motor q-Axis Current during Fault,Fin Temperature,Casing temperature,Power loss,Temperature,
,,,,,,,,,,,,,,,,,,,,
 11:10:42.435,20,20,9.79,162.4,0.2,600,20,0,1,399,49.9,240,37,20,-17.4,46,55.4,0.187,55.42805,3815.505565
 11:10:42.581,20,20,9.7,162.9,0.5,600,20,0,1,399,49.9,240,37,20,-17.4,46,55.4,0.4675,55.470125,3803.55914
 11:10:42.717,20,20,8.38,155.1,0,607,20,0,1,399,49.9,240,37,20,-17.4,46,55.4,0,55.4,3823.490686
 11:10:42.856,20,20,8.98,155.6,0.1,603,20,0,1,399,50,240,37,20,-17.4,46,55.4,0.0935,55.414025,3819.496039
 11:10:43.007,20,20,8.84,155.2,0.4,597,20,0,1,399,50,240,37,20,-17.4,46,55.4,0.374,55.4561,3807.53712
 11:10:43.177,20,20,8.78,155.2,0,603,20,0,1,399,49.9,240,37,20,-17.4,46,55.4,0,55.4,3823.490686
 11:10:43.358,20,20,8.41,151.7,0,603,20,0,1,400,49.9,240,37,20,-17.4,46,55.6,0,55.6,3766.918927
 11:10:43.539,20,20,8.43,155,-0.5,608,20,0,1,400,49.9,240,37,20,-17.4,46,55.6,-0.4675,55.529875,3786.65847
 11:10:43.693,20,20,8.82,155.2,0.7,599,20,0,1,400,50,240,37,20,-17.4,46,55.6,0.6545,55.698175,3739.45632
 11:10:43.836,20,20,8.08,152.1,0,606,20,0,1,400,49.9,240,37,20,-17.4,46,55.6,0,55.6,3766.918927
 11:10:43.982,20,20,8.8,155.9,1.1,600,20,0,1,400,49.9,240,37,20,-17.4,46,55.6,1.0285,55.754275,3723.853388
 11:10:44.128,20,20,8.37,158.5,0.5,606,20,0,1,400,49.9,240,37,20,-17.4,46,55.6,0.4675,55.670125,3747.282285
 11:10:44.276,20,20,9.26,159,0.9,600,20,0,1,399,50,240,37,20,-17.4,46,55.6,0.8415,55.726225,3731.646699
 11:10:44.425,20,20,8.44,157.1,0.7,608,20,0,1,399,49.9,240,37,20,-17.4,46,55.6,0.6545,55.698175,3739.45632
 11:10:44.574,20,20,9.27,160.9,0.7,603,20,0,1,399,50,240,37,20,-17.4,46,55.6,0.6545,55.698175,3739.45632
 11:10:44.723,20,20,8.49,157.1,0.7,608,20,0,1,399,49.9,240,37,20,-17.4,46,55.6,0.6545,55.698175,3739.45632
 11:10:44.875,20,20,9.07,159,0.8,602,20,0,1,399,50,240,37,20,-17.4,46,55.6,0.748,55.7122,3735.549469
 11:10:45.030,20,20,8.47,159.5,0.7,607,20,0,1,399,49.9,240,37,20,-17.4,46,55.6,0.6545,55.698175,3739.45632
 11:10:45.184,20,20,8.5,154.6,0.8,602,20,0,1,399,49.9,240,37,20,-17.4,46,55.5,0.748,55.6122,3763.495263
 11:10:45.339,20,20,8.1,153.2,-0.1,608,20,0,1,399,49.9,240,37,20,-17.4,46,55.5,-0.0935,55.485975,3799.068529
 11:10:45.499,20,20,8.4,155.2,0.2,601,20,0,1,399,50,240,37,20,-17.4,46,55.5,0.187,55.52805,3787.173569
 11:10:45.659,20,20,8.76,156,-0.2,606,20,0,1,399,49.9,240,37,20,-17.4,46,55.5,-0.187,55.47195,3803.041812
 11:10:45.823,20,20,8.4,155.9,0.1,611,20,0,1,399,49.9,240,37,20,-17.4,46,55.5,0.0935,55.514025,3791.134412
 11:10:45.983,20,20,8.69,155.2,0.9,603,20,0,1,399,49.9,240,37,20,-17.4,46,55.5,0.8415,55.626225,3759.563296
 11:10:46.149,20,20,8.43,154.6,-0.1,607,20,0,1,399,49.8,240,37,20,-17.4,46,55.4,-0.0935,55.385975,3827.489511
 11:10:46.314,20,20,8.34,154.4,-0.5,612,20,0,1,399,49.9,240,37,20,-17.4,46,55.4,-0.4675,55.329875,3843.526678
 11:10:46.477,20,20,8.83,157.1,0.9,604,20,0,1,399,49.9,240,37,20,-17.4,46,55.4,0.8415,55.526225,3787.688739
 11:10:46.646,20,20,8.22,153.9,-0.1,608,20,0,1,399,49.9,240,37,20,-17.4,46,55.4,-0.0935,55.385975,3827.489511
 11:10:46.811,20,20,8.4,154.5,-0.5,613,20,0,1,399,50,240,37,20,-17.4,46,55.4,-0.4675,55.329875,3843.526678
 11:10:46.979,20,20,8.78,156.6,0.9,604,20,0,1,399,49.9,240,37,20,-17.4,46,55.4,0.8415,55.526225,3787.688739
